,crystal_name,indirect_bandgap (eV),_cell_length_a,_cell_length_b,_cell_length_c,_cell_angle_alpha,_cell_angle_beta,_cell_angle_gamma
178,Li4MnNiO6,0.3714,2.655981043,2.655974137,13.49928648,90.01203778,89.98790971,120.0440303
179,Li14Mo12O48Sc2,4.11,4.735067663,9.67059977,16.18183881,89.99995966,90.06538065,89.99987358
180,LiMg31O100Sc3Si32,2.6129,9.011413707,8.263834448,20.40009412,89.99692817,91.24482418,90.01239122
181,Li8Mg4Mn12O32,0.3682,7.658096823,7.639443049,7.647866452,91.36810164,90.12197696,91.28825551
182,Li8Mn12Ni4O32,0.3668,7.605156169,7.60514873,7.574562095,90.66250265,90.66452467,89.49099509
183,Li8Mn13Ni3O32,0.3867,7.61243417,7.587966105,7.609459609,89.4688417,90.35187766,89.41505297
184,Li8Mn14Ni2O32,0.3689,7.584218202,7.630744988,7.580127176,90.01190246,91.2508001,90.00149475
185,Cs2Li3O20P6,6.4002,6.845560972,7.070092375,8.19837254,112.1410822,99.13367908,80.77289815
186,Al4FFe4Li6NaO44Si16,0.4929,8.880655706,16.26495676,4.847413249,90.00001445,104.6452329,89.99962703
187,Cs2Li3O22P6,0.3817,7.014649988,7.040099171,8.213704301,111.991145,95.91423162,81.3438445
188,Al17Fe3LiO48Si8,0.4286,7.436331158,15.74278219,5.366724747,90.00009068,89.63041538,89.99999494
189,Al17Fe4O48Si8,0.3996,7.419195114,15.51580205,5.444082238,89.99980748,90.34654049,89.99998661
190,K5Li3Mn4O60Si24Zn3,2.9638,9.601363576,9.600530868,13.26314499,90.04011483,90.00242889,120.0078891
191,Al16Fe3LiMgO48Si8,0.3729,7.454841072,15.71952904,5.373979399,90.09330268,89.76693786,89.97895279
192,Al5Ge4Li3,0.5393,5.996651712,6.00888554,5.996651323,90.0000049,90.00000951,89.99995119
193,Ga3Li13Mo12O48,2.6865,4.719815864,9.620649605,15.98954842,89.99971438,90.08755292,89.99999389
194,Al6Ge4Li2,0.7274,6.045684906,6.045684564,6.045497748,89.99999403,89.99999643,90.00000473
195,Al2Cu16Li8,0.461,4.730293797,4.730292578,16.95598504,89.99997712,89.99997831,119.9966696
196,Ga2Li14Mo12O48,3.0905,4.616844441,9.641129691,15.64734408,90.1208692,90.00057279,89.99941065
197,Ca22Ir6Li2O36,3.2941,8.793474872,8.793449503,10.52996168,90.00065768,89.99942934,120.0114947
198,Fe19Li3Mg2O32,0.3659,7.712954538,7.761000042,7.738556317,89.99028498,89.77329187,90.74115227
199,Fe20Li4O32,0.3666,7.667537474,7.711652615,7.751554926,89.52322904,90.3252236,89.8494956
200,Li4O18Ta6,3.4294,4.877174233,4.8771973,13.09362296,89.99941428,90.00192352,120.0139905
201,Li6O18Ta6,0.4291,4.885004102,4.884944082,13.21286441,89.99928098,90.00124259,120.0109081
202,Fe19Li2Mg3O32,0.365,7.754590675,7.771014015,7.735883742,91.30478917,89.70383519,90.01716437
203,Fe18Li3Mg3O32,0.3627,7.708282807,7.753683614,7.767378264,90.19790422,90.57621261,90.94798244
204,Li6O32Ta12,0.3909,16.15735001,3.690214401,8.389845259,90.00001604,89.9988865,89.99208061
205,CoLi4MnO6,0.3692,2.646886411,2.646885268,13.40274807,90.0051918,89.9948262,120.0250068
206,Li6O32Ti18,0.3789,7.95894839,7.992391517,7.958940501,89.98245637,89.97656173,89.98237341
207,Co2Li2Ni2O6,0.3884,2.729304523,2.729303891,13.36012823,89.99719488,90.00284932,119.9871917
208,Li3MnNi2O6,0.3699,2.693335503,2.693335133,13.35495516,89.99954708,90.00056524,120.0034812
209,CrLi11O32Ti12,0.9743,7.89037474,7.852760654,7.861711846,89.75174475,89.93795888,91.34496494
210,Fe3Li3O16P4,0.3882,9.275715342,5.394412343,4.389061176,89.51517718,90.8794309,89.09899227
211,Fe2Li4O16P4,0.7059,9.264041889,5.419280644,4.381818494,89.99978161,90.57219014,90.00014819
212,Fe3Li2O16P4,0.411,9.280935032,5.347792972,4.361289751,89.81916242,90.21582389,91.34347278
213,Li26Ni80Si63,0.4054,16.90043485,16.90043613,7.736377859,90.0000818,89.99981093,120.0067348
214,Li26Ni80Si64,0.4187,16.95025251,16.95024982,7.769511515,89.99992147,89.99991737,120.0068773
215,Al3F4K2Li3O20Si7,5.6122,4.916001888,8.517135887,9.158715123,89.93286405,100.4509615,89.94061433
216,Al2F4Fe2K2Li2O20Si8,0.7714,4.960432311,8.548867246,9.142667121,89.99994328,100.6280411,90.00004171
217,Li8O8PSi,0.5164,4.816484258,5.748500303,4.806665694,92.03165653,92.17590607,89.2859403
218,Li5N4,0.3664,3.232409975,4.240818248,5.000034531,90.01958025,89.81002612,90.04648608
219,Li10O16P4,6.6002,9.732738263,5.698993034,4.521577638,89.999889,90.00110366,89.99999951
220,Cu5Li3Mn6O32Ru10,0.3679,7.923685234,7.914070698,7.909655825,90.50220211,89.96458302,90.35734756
221,Li9Mn11O32Ti4,0.3669,7.720087776,7.71440161,7.665138373,89.61897642,90.17695437,90.38954643
222,Cu6Li2Mn5O32Ru11,0.3638,7.920275536,7.964334522,7.934200612,89.61806464,89.70200294,90.5587739
223,Cu4Li3Mn7O32Ru9,0.3642,7.838966744,7.841336259,7.853772572,89.81313981,89.80869016,89.35811079
224,Cu3Li5Mn7O32Ru9,0.3677,7.882603028,7.830469418,7.885310938,90.31633918,88.92415544,89.56021917
225,Cu4Li4Mn9O32Ru7,0.3636,7.824053692,7.896175003,7.800882051,88.21786861,89.38651107,88.80448729
226,Ba6Ge12Li6Mg2,0.3807,12.05470726,4.502845289,11.30470464,90.00000151,91.13430562,90.00000018
227,Ca32Ge32Li5Mg7,0.5282,21.69424861,4.406046978,18.29726725,90.00000197,90.03576164,89.99999983
228,Ca32Li3Mg9Si32,0.4394,21.40297086,4.413533757,18.1725555,89.99999914,90.04028499,89.99999932
229,Ca32Ge32Li4Mg8,0.4128,21.67448517,4.415793277,18.288686,90.00000223,90.02629323,89.99999921
230,Ca32Ge32LiMg11,0.4858,21.67569829,4.435382425,18.34653888,90.00000204,89.95111653,90
231,Ba6Ge12Li3Mg5,0.3824,12.17431139,4.540787444,11.39654093,90.0000023,91.96334166,90.00000013
232,Ca32Li2Mg10Si32,0.4031,21.38140179,4.422609636,18.1830334,90.00000048,89.99163081,89.99999883
233,Ca32Li7Mg5Si32,0.4122,21.41709385,4.367655376,18.15185631,89.99999988,89.98284717,89.99999956
234,Ca32Li6Mg6Si32,0.4215,21.40640975,4.379415749,18.15760468,90.00000026,90.04072071,90.00000007
235,Li9P4Ti,1.8435,5.721886189,5.638702355,5.638706682,89.49092914,90.00001293,89.99992258
236,F2Fe3Mg7Na5O46Si16,0.4609,9.120074218,16.73877643,4.983022916,90.00000687,105.106066,89.99998965
237,Co3Li3O16V5,0.3809,5.515917627,5.461209163,7.720455522,89.9987261,89.50576953,89.99978169
238,Li11P4Ti,0.3977,5.692467061,5.692467009,5.692466049,89.99999191,90.00004607,90.00002494
239,Li10P4Ti,2.1841,5.682149133,5.682147193,5.682180144,90.14725928,90.14709192,90.14960132
240,Al8Ge8K8Li4O40,0.3686,13.50416191,7.992244804,9.932566492,90.00049621,134.6525415,89.99942418
241,Ca8Li5Nb12O40,2.343,5.23493089,5.229627793,24.18016477,90.0379536,90.3773699,89.86816442
242,Cr9Fe3Li8O32Sb4,0.3642,7.866068265,7.829407196,7.839437746,92.95805579,87.38333017,90.04966543
243,Al4Be6LiO37Si12,2.3028,8.881620646,8.88181672,8.826523879,89.99996383,89.99996323,120.0187737
244,Cr9Fe6Li7O32Sb2,0.3676,7.818959806,7.799622032,7.759026329,90.66789894,90.25540553,89.11807047
245,Fe4Li4O16P4,0.3654,4.425150532,9.388602126,5.514078652,89.99982504,89.99998203,90.00002165
